label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128,feature129,feature130
?,-418.60208,-393.442,-334.72122,-310.11905,-359.07367,-432.49112,-304.10776,-259.34244,-317.41327,-454.80585,134.84695,110.53117,100.12043,101.58895,95.81647,78.31055,44.949883,57.166786,76.22177,80.939835,25.010345,20.047039,19.73125,22.448639,32.159836,33.690098,12.178852,18.431353,28.672146,43.08907,26.428282,24.893608,13.457623,15.623068,28.192286,37.515205,18.781898,21.606293,28.920986,38.648643,12.473411,9.02174,-7.2894955,-14.76754,-7.3190026,6.071018,-4.4432325,1.9805691,9.467787,12.636023,29.7593,27.046669,21.124332,18.34765,21.816923,18.194202,2.5240982,10.85338,21.104046,24.187485,16.392101,19.801949,17.290596,9.968938,9.455859,23.696106,7.6165466,7.777854,12.545973,8.293913,20.389069,31.78944,29.667759,24.914679,23.031887,20.897495,18.753605,15.8550205,15.051035,10.06851,14.771519,19.541992,28.91242,23.368542,10.9459505,3.5175252,4.4485383,2.7120945,2.911347,7.399602,2.6676335,-1.4354517,4.135926,3.7702684,4.0267344,3.7661104,8.389135,10.724277,11.544935,12.018753,13.143543,11.898535,-1.247324,0.73414284,12.754175,10.792244,7.3714104,14.835728,18.080673,14.302525,10.773546,9.799247,-19.054102,-22.599735,-8.809557,2.3523793,-5.844141,-7.190839,-6.414179,-0.5407097,4.026946,-17.144367,-15.759771,-12.285907,-10.773123,9.584748,3.2599456,-2.05674,-5.580223,-0.48996228
?,-382.78015,-259.1438,-259.1676,-369.60934,-415.74783,-403.06165,-393.73666,-320.70355,-293.15695,-361.64053,34.6679,31.788893,50.392776,101.03017,88.748436,50.149853,52.025627,41.963234,47.646034,64.758575,11.932388,2.6954641,9.75477,38.67286,58.446243,36.798923,33.186485,27.387125,29.86673,30.317127,36.236588,34.912556,38.633766,36.50569,32.421562,38.77111,36.81835,36.72077,36.27304,33.838024,31.054283,30.310604,29.687683,22.033436,20.175508,28.415405,26.88077,17.696806,17.384335,14.082005,18.906864,16.7434,16.103138,17.755726,14.981933,27.70757,35.611286,17.499292,17.812527,22.111729,-2.1019368,-0.6731515,0.41954625,-0.7298605,0.053971283,14.309525,17.854496,9.771132,14.812429,12.295422,3.0987468,5.789563,7.3293066,11.218201,16.637245,20.165928,26.909746,16.781929,19.237871,17.124428,20.258514,21.923506,22.097946,18.402863,20.690128,12.217833,15.691374,30.257074,32.021053,25.804922,10.83193,12.30637,15.202702,17.411972,9.800304,0.42454886,1.8327262,17.21933,20.315416,16.29864,3.7758226,4.1100535,7.4103594,14.667854,9.280075,-1.2262616,1.8120143,1.5096153,2.7112284,9.74502,-9.168901,-9.43404,-6.9178658,-4.2424965,-6.7755103,-7.824683,-9.50803,-12.601126,-11.099728,-6.962141,-0.8773756,-2.755287,-3.619813,-4.9221287,-3.1626577,-9.962735,-16.000412,-2.5234387,0.041958537,-3.8034177
?,-439.0123,-389.37512,-358.47775,-332.75525,-283.70172,-271.96255,-266.10104,-273.65857,-265.6739,-290.51328,55.267178,49.95861,74.90811,104.28408,101.81935,96.27274,108.09816,105.57048,90.831726,85.55491,36.18012,34.75506,36.133533,38.538467,24.931488,17.047754,15.47307,9.169043,4.452346,11.2975025,32.798447,28.619421,29.146305,29.594217,22.934406,17.934643,12.315233,6.61458,4.328046,7.520538,-2.415893,-5.7948112,8.362162,-11.057977,-14.103432,-0.06424993,-8.590721,-10.488919,-5.934579,-8.575795,20.470972,10.33708,4.395223,-8.951922,-6.8280916,4.3530474,-0.2838083,-1.195541,3.8165069,4.6427736,-4.5577927,-0.58520263,9.628779,-7.548947,-8.521584,2.1064417,-4.5440497,-10.128117,-1.9824116,-4.07232,-0.43173042,10.432142,27.842682,13.244436,5.792295,7.677019,6.6240616,7.430588,8.960578,6.8388853,21.525724,30.832512,37.83831,40.716694,27.261852,9.024778,15.181967,24.18201,21.00571,15.316586,18.482063,19.63703,18.539688,18.75424,15.768107,12.381619,14.942005,12.880741,16.897999,17.850883,11.583057,2.688678,-1.4282382,15.444127,21.93552,17.622204,13.962612,12.50635,19.267101,18.277782,0.5351823,0.060425937,-0.6429416,9.2099,6.311117,-1.2966119,3.2026615,5.802419,6.4345117,6.6970577,-7.417509,-3.3294687,6.585182,10.922933,7.465565,10.2927,-0.19810563,2.4418917,7.8644047,5.5127654
?,-300.94858,-240.04735,-232.68051,-223.4662,-169.66193,-201.45049,-270.53323,-277.31778,-269.2361,-274.20303,66.30873,32.580147,51.18965,41.90052,36.58617,63.22619,93.76359,60.29162,44.36355,65.87851,25.141376,13.616788,16.998714,6.1046667,0.1746006,11.339495,29.587185,27.076517,25.912941,32.35821,17.854162,20.12422,23.05381,36.585865,34.818756,33.47992,26.95861,29.37134,26.640282,18.570675,-1.2445621,8.325616,12.038832,1.2299361,1.315479,-2.1035452,-3.8561106,12.36194,18.283455,4.0887823,18.7262,22.951658,21.271885,7.249655,7.5192995,6.9568167,7.2286987,8.888298,18.650291,8.814245,-4.8479757,-9.160059,-10.166543,-1.3288624,1.090367,-5.666556,-15.469069,-0.89451706,8.334172,7.841858,3.7407556,-0.18300238,3.1330178,8.04308,7.173706,-0.24303102,-10.249235,-2.3829155,7.983237,17.989574,-3.5322168,-2.9507961,3.5895894,18.29592,19.09066,13.118811,2.15644,-0.3714425,-1.5084776,-3.3744798,13.204472,15.192228,10.629807,3.4368608,2.9483464,7.3301415,18.023708,7.2973194,13.381031,11.703537,10.6961565,12.537632,11.129074,8.447104,7.587406,12.668875,13.995615,17.313585,11.631538,7.5373707,2.6893907,1.4195768,2.7963383,-2.410581,-0.58814836,3.495416,-1.8346169,-2.8425303,-4.8208103,-7.833193,-2.6070144,-3.169785,4.197363,6.4487967,2.9612164,3.323518,13.893242,2.5844736,-7.036025,-3.5420146
?,-314.92896,-266.83664,-327.31778,-465.0848,-303.63406,-230.63135,-265.4146,-278.61813,-265.8921,-323.98624,79.85009,77.55452,88.19869,111.25151,106.98142,115.77846,119.51349,72.96738,81.88475,110.91774,29.072092,32.912544,39.602943,44.749687,18.952099,14.649975,19.429981,20.390991,17.873014,26.38388,24.491589,21.977894,23.263792,29.640778,2.2710114,-1.6026399,6.165127,49.45822,44.981106,35.267998,20.42227,22.414898,21.910439,21.97219,-18.854187,-21.207764,-17.040709,6.803665,9.77652,11.907835,19.151697,22.751637,25.54511,11.681318,6.615712,6.344282,7.3952503,0.8431629,5.5020256,10.953939,-1.7933513,0.038137317,3.041078,7.19318,-3.9304671,-4.213498,-2.2763205,-3.8981712,1.5626203,-3.0741506,13.831874,15.296848,13.959877,10.9799595,1.6855452,0.37159285,-1.8685598,0.46878836,7.7474027,14.270627,4.2912455,10.435517,11.952596,18.425495,8.031888,7.192857,6.376642,22.9234,24.463308,23.08208,15.972919,19.68787,18.770134,11.143851,20.45269,18.930267,15.262372,11.422446,11.270125,9.534601,15.797977,12.8345585,10.794687,-3.2963412,18.991215,20.950813,18.152306,14.108616,12.385323,7.406466,-10.909478,-15.099493,-12.478395,-8.073455,14.023164,14.998695,13.863784,1.4490633,-3.944294,-1.2493398,-10.343866,-13.610376,-13.166048,-11.947819,10.98349,12.380474,10.23222,0.39357725,-1.4687717,2.5619907
?,-294.22253,-233.81627,-260.47083,-202.87396,-156.10509,-226.33784,-363.59073,-395.9365,-368.58774,-354.50858,88.22769,65.18522,72.94621,50.14068,53.585983,72.58893,111.572395,99.03564,44.641342,53.65487,34.26892,29.65412,28.084444,11.492607,12.906959,19.979744,64.66476,53.006702,22.224028,18.631733,43.786324,40.076584,31.335075,35.730675,38.060463,40.3841,40.127316,51.419785,58.321503,48.8812,15.750936,11.621649,6.2962313,4.105712,5.365109,6.840643,-8.315777,1.5835677,35.97627,34.18522,6.670429,7.1548967,12.325262,3.5050924,4.8164487,10.659107,1.0626581,-6.464245,-2.1596136,8.048587,-1.3890676,3.3860378,6.5175667,-10.743949,-11.946606,-6.6761217,-5.23579,-6.2241335,-4.3797493,4.718971,8.132481,11.988466,10.768578,1.1752946,-0.7602153,1.9830079,12.319712,11.498787,14.64819,16.899963,3.246183,3.5776696,1.3962395,2.8647354,3.6686645,4.08019,0.12968862,2.4142933,5.799507,5.117796,5.7119064,5.866844,4.1402645,18.084885,18.050634,12.65218,2.7271132,7.807596,21.4163,16.066238,2.3995297,1.6417643,1.6269579,26.236513,25.974056,20.104782,7.5658603,11.014027,19.113132,15.353899,2.5293221,-2.894458,-5.096323,0.77637637,-1.8417671,-5.057248,-0.11790569,-5.2445364,-12.536196,-12.747362,-6.193688,-11.664655,-9.487771,-22.248905,-23.578392,-19.150234,9.012881,9.810652,23.9935,22.989063
?,-403.3102,-418.75586,-500.90955,-455.29684,-374.03772,-313.3142,-295.9711,-326.34763,-340.7572,-284.80817,72.46144,66.96778,55.117386,17.497528,28.546501,58.69658,64.797165,68.35603,68.73151,59.344368,30.221424,34.095943,50.457893,42.402847,31.407703,30.69236,30.412256,28.42773,39.509956,40.630116,51.194435,43.696438,35.704533,27.224316,22.13625,21.495914,27.486076,35.609436,32.582787,29.751204,34.470734,33.18319,22.181168,19.682728,23.902403,10.286017,6.085682,6.6991286,13.064886,4.920062,16.510754,17.537964,8.085656,4.05195,23.575762,33.238255,35.085026,30.266705,20.37513,17.076488,8.092829,9.489149,5.565239,12.498173,29.258883,21.886505,19.004044,14.74786,13.411186,10.957981,10.559576,12.012629,15.978703,16.569393,29.358498,23.73497,14.379107,7.829894,12.891238,11.719791,6.213617,7.236805,7.608141,26.452377,34.69526,25.209314,18.846481,17.160248,8.379814,0.3182857,16.020863,13.182835,8.651195,6.2031155,10.963495,14.037281,19.35289,24.449837,16.041325,10.583665,16.721203,16.67898,19.774094,7.9213467,10.047282,9.085812,13.811361,17.83164,14.639809,15.010952,-7.112096,-5.136162,-2.8325868,-7.2758803,-9.062525,-10.485495,-8.492657,-8.050533,-12.258406,-14.351055,3.9020317,4.679416,0.94338,-7.58591,-12.778301,-6.1794753,-2.9295352,-3.7058096,3.0381021,3.417088
?,-300.481,-281.4688,-287.11026,-300.1701,-387.47583,-290.32925,-246.41579,-280.93857,-317.00748,-321.19003,59.711693,66.84792,101.285225,111.819534,81.21796,19.339224,38.68966,52.54199,61.017498,84.734535,41.14527,43.028133,24.514328,23.755901,47.88961,36.94227,38.307133,37.352097,40.82641,33.537617,30.876785,27.953684,23.022432,22.786148,28.266619,35.433014,36.351547,37.64627,35.0297,22.303104,5.106284,-0.69298255,-11.380236,-10.517874,-8.983318,-4.1503944,-2.2579877,-1.8095798,4.086217,13.704643,15.73913,10.624302,-5.5921326,-4.917101,-0.29404035,-2.2910483,2.248061,15.529637,22.146156,12.657711,8.3670025,2.9353318,-17.874308,-20.348358,-11.814071,-13.813881,-13.267701,-6.4971423,5.3168354,14.622375,9.482269,6.194955,8.415451,11.161193,17.518833,14.617802,12.48879,7.5166283,12.918123,15.6349,-0.81768745,-3.8184373,9.547149,15.874151,16.529303,6.1928334,6.602893,12.383547,18.851229,12.897947,10.168223,7.9603505,10.448781,12.67182,15.260853,20.994284,20.272581,16.42125,19.010275,22.061558,14.21019,14.398265,15.074139,14.520434,12.620817,13.037451,13.158766,13.386671,11.60882,11.459803,-15.709503,-12.557926,4.5040207,5.936064,2.1388304,1.2649931,3.6839223,1.8173461,-4.268842,-7.6533613,2.0357816,0.13080126,-2.2988906,-4.2271414,0.97316873,-2.8978333,2.9305084,8.461987,2.3007846,10.165413
?,-326.76898,-336.07187,-429.2073,-438.5592,-277.31693,-199.13995,-222.86084,-334.50665,-278.95023,-209.31529,89.59958,93.60334,98.204544,88.69536,43.125618,45.039062,68.32805,83.38051,41.89856,54.730186,33.547585,31.561636,45.28547,62.243626,24.818113,16.562466,21.65559,37.905426,39.651085,40.264862,23.377048,29.147545,43.603943,42.815292,27.822784,22.651743,25.600979,38.359146,55.02275,49.687737,16.202585,18.646574,20.901184,-4.388481,15.8652,16.619473,16.150057,6.3260655,-6.857644,-9.200827,11.520064,17.549362,25.101936,6.7098436,15.181335,19.516026,21.763214,21.493305,-3.9301887,-5.0867577,12.631214,7.2967434,-6.716106,-3.9702,-6.4337206,-6.399851,-5.7113123,1.0971999,15.760214,12.00741,6.00589,6.3993845,6.3719664,1.9094422,-1.4338356,0.059452713,4.1830926,8.719898,14.23317,11.258787,6.880273,11.460043,12.780414,21.186455,9.82502,5.8596783,6.255204,5.547306,-2.1206577,-3.1150537,18.19098,20.437489,15.03159,25.623068,21.966412,15.981868,13.220637,10.369378,0.2749791,-0.10866031,8.120911,10.490129,14.649832,22.105991,15.513257,15.397802,16.145458,12.362431,-4.515369,-6.194935,-9.356749,-6.0314994,0.50820017,-1.1191674,2.766331,1.8007352,0.2828697,-6.006378,-9.75655,-7.976993,6.9647965,4.529913,1.288645,-2.1362553,-2.687393,-7.1720724,-6.7106647,3.2299547,11.479071,13.6880665
space,-482.87677,-408.1639,-452.90616,-592.3874,-662.95746,-685.1963,-630.3685,-566.8214,-586.371,-660.65643,66.459366,79.68444,96.669525,107.32095,89.85623,82.628784,75.78822,75.619644,85.90056,90.76828,24.233349,28.519787,32.899742,45.21462,44.436604,34.17411,42.02585,44.114662,42.5847,42.40262,43.322083,43.571514,42.310127,30.79192,18.471272,10.321255,19.582607,30.387972,32.840305,26.383472,13.710908,14.536315,14.558931,25.786144,30.059954,23.799355,31.866192,44.832405,44.162308,33.386467,1.8406568,6.04766,11.857483,25.489746,20.257143,11.911983,21.748856,30.103569,35.221867,32.17965,-8.692263,-3.6627223,4.4175863,20.221333,13.26597,7.199065,6.189063,4.5388775,8.082439,14.845346,1.85739,2.4753833,6.221323,13.678333,9.846886,8.533127,10.882538,8.66276,11.875005,18.22596,15.650614,15.373558,14.730475,9.007453,11.871708,11.379811,2.255486,3.5846517,8.895361,16.2384,11.925579,12.7745495,11.981633,8.44693,2.7666607,-0.81369805,-2.8153298,-1.9059001,-2.7361164,-3.7010698,31.77049,30.226822,25.366215,17.421314,10.160133,7.7788105,9.069792,12.532822,6.1282516,-4.479405,8.018307,8.299924,6.9903135,1.6656091,1.2449147,-1.7193606,-8.545885,-9.344528,-10.891784,-7.4699235,-5.99655,-6.9506316,-6.1119223,-5.052679,-6.3156033,-3.9225004,4.8427687,0.80654967,-3.9463005,-3.3647525
space,-455.5739,-381.51883,-426.9713,-542.83563,-620.2115,-673.9764,-678.0759,-680.0629,-630.6506,-570.02,58.927155,68.871056,81.778725,77.459236,66.76587,73.09907,77.95163,80.87468,93.36493,103.61809,18.749214,20.3698,23.776012,44.221466,37.510735,32.52271,29.038036,29.992207,39.10389,34.62285,35.887665,35.956352,35.132378,23.042847,12.030487,7.2682896,-0.029056787,1.1453818,23.581367,28.050344,14.439283,14.962732,16.70203,30.562752,24.32106,11.136122,11.668074,13.302004,27.70371,24.430784,10.643557,14.2655945,17.401127,16.803394,12.4474125,1.9822086,0.008680105,3.5196185,18.929218,18.568476,-19.794594,-14.566903,-5.871741,17.34871,15.337461,11.406842,3.7179995,7.819795,13.263916,10.928194,-3.4399242,-1.07092,3.0475378,10.161943,10.409704,16.113178,7.6601086,6.7130427,2.6542118,1.7401682,18.374546,18.789593,17.279346,1.1677322,-0.7254201,9.970925,14.591894,15.873175,11.969475,7.371462,14.295286,15.209276,15.091689,26.568516,22.643639,8.955181,6.615856,5.101204,4.691106,3.5511875,30.888706,27.785568,21.433594,18.628227,22.186218,8.727301,2.7491064,-0.5443752,4.14189,4.4384136,13.916318,9.511406,4.616898,-1.7524658,-5.3254213,1.0600865,2.9527597,2.6511426,-1.0393528,-1.9878399,-2.2050843,-3.7706418,-5.148208,-7.891488,-7.5657625,4.9816732,11.879054,12.318304,6.484433,2.3760538
